Latitude (decimal degrees):	48.379
Longitude (decimal degrees):	9.491
Elevation (m):	770
Radiation database:	PVGIS-SARAH3


Slope: 45 deg. 
Azimuth: 15 deg. 
Nominal power of the PV system (c-Si) (kWp):	11.2
System losses (%):	10.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200104:1110,4173.75,403.18,18.8,2.06,3.24,0.0
20200104:1210,709.09,83.79,18.21,2.36,4.0,0.0
20200104:1310,555.64,68.8,15.18,2.19,3.72,0.0
20200104:1410,1217.59,130.0,9.99,1.93,3.72,0.0
20200104:1510,262.8,38.3,3.08,1.53,3.72,0.0
20200104:1610,0.0,0.0,0.0,1.03,3.79,0.0
20200104:1710,0.0,0.0,0.0,0.95,4.0,0.0
20200104:1810,0.0,0.0,0.0,0.86,3.93,0.0
20200104:1910,0.0,0.0,0.0,1.05,3.45,0.0
20200104:2010,0.0,0.0,0.0,0.91,3.45,0.0
20200104:2110,0.0,0.0,0.0,0.9,3.38,0.0
20200104:2210,0.0,0.0,0.0,0.84,3.31,0.0
20200104:2310,0.0,0.0,0.0,0.56,3.1,0.0
20200105:0010,0.0,0.0,0.0,0.46,2.97,0.0
20200105:0110,0.0,0.0,0.0,0.33,2.76,0.0
20200105:0210,0.0,0.0,0.0,-0.1,2.34,0.0
20200105:0310,0.0,0.0,0.0,0.1,2.14,0.0
20200105:0410,0.0,0.0,0.0,0.05,1.86,0.0
20200105:0510,0.0,0.0,0.0,0.16,1.52,0.0
20200105:0610,0.0,0.0,0.0,0.06,1.31,0.0
20200105:0710,0.0,0.0,0.0,0.27,1.03,0.0
20200105:0810,948.49,107.35,6.54,0.39,0.9,0.0
20200105:0910,1655.66,171.62,12.72,0.7,0.55,0.0
20200105:1010,2050.76,208.64,16.97,1.11,0.28,0.0
20200105:1110,1905.08,196.0,18.91,1.61,0.0,0.0
20200105:1210,3402.23,336.56,18.33,2.28,0.41,0.0
20200105:1310,3322.01,328.17,15.31,2.71,0.69,0.0
20200105:1410,1479.04,155.34,10.13,2.63,0.62,0.0
20200105:1510,133.76,24.29,3.22,2.25,0.62,0.0
20200105:1610,0.0,0.0,0.0,1.59,1.03,0.0
20200105:1710,0.0,0.0,0.0,0.66,1.24,0.0
20200105:1810,0.0,0.0,0.0,-0.35,1.38,0.0
20200105:1910,0.0,0.0,0.0,-0.19,1.24,0.0
20200105:2010,0.0,0.0,0.0,-0.82,1.38,0.0
20200105:2110,0.0,0.0,0.0,-1.31,1.38,0.0
20200105:2210,0.0,0.0,0.0,-1.82,1.31,0.0
20200105:2310,0.0,0.0,0.0,-2.14,1.31,0.0
20200106:0010,0.0,0.0,0.0,-2.79,1.38,0.0
20200106:0110,0.0,0.0,0.0,-3.08,1.38,0.0
20200106:0210,0.0,0.0,0.0,-2.92,1.24,0.0
20200106:0310,0.0,0.0,0.0,-2.59,1.03,0.0
20200106:0410,0.0,0.0,0.0,-2.37,0.9,0.0
20200106:0510,0.0,0.0,0.0,-2.21,0.83,0.0
20200106:0610,0.0,0.0,0.0,-1.94,0.69,0.0
20200106:0710,0.0,0.0,0.0,-2.95,0.62,0.0
20200106:0810,2652.41,267.25,6.59,-2.63,0.9,0.0
20200106:0910,4653.79,448.92,12.79,-1.82,1.17,0.0
20200106:1010,6223.72,605.84,17.06,-0.24,1.31,0.0
20200106:1110,5424.98,528.57,19.02,1.48,1.52,0.0
20200106:1210,3355.54,330.19,18.46,2.87,1.72,0.0
20200106:1310,2522.81,252.59,15.45,3.58,1.86,0.0
20200106:1410,2495.7,249.08,10.28,3.48,1.86,0.0
20200106:1510,261.0,38.25,3.37,2.16,2.28,0.0
20200106:1610,0.0,0.0,0.0,0.89,2.48,0.0
20200106:1710,0.0,0.0,0.0,0.57,2.55,0.0
20200106:1810,0.0,0.0,0.0,0.55,2.62,0.0
20200106:1910,0.0,0.0,0.0,0.28,2.83,0.0
20200106:2010,0.0,0.0,0.0,0.58,3.03,0.0
20200106:2110,0.0,0.0,0.0,0.86,3.17,0.0
20200106:2210,0.0,0.0,0.0,1.11,3.31,0.0
20200106:2310,0.0,0.0,0.0,1.32,3.45,0.0
20200107:0010,0.0,0.0,0.0,1.44,3.59,0.0
20200107:0110,0.0,0.0,0.0,1.4,3.52,0.0
20200107:0210,0.0,0.0,0.0,1.45,3.31,0.0
20200107:0310,0.0,0.0,0.0,1.18,3.1,0.0
20200107:0410,0.0,0.0,0.0,0.91,3.17,0.0
20200107:0510,0.0,0.0,0.0,0.58,3.1,0.0
20200107:0610,0.0,0.0,0.0,0.23,2.9,0.0
20200107:0710,0.0,0.0,0.0,0.3,2.41,0.0
20200107:0810,1189.12,130.27,6.65,0.72,2.41,0.0
20200107:0910,941.85,105.44,12.86,1.53,2.28,0.0
20200107:1010,492.98,62.62,17.16,2.14,2.34,0.0
20200107:1110,3350.36,328.72,19.13,2.5,2.14,0.0
20200107:1210,869.4,99.5,18.6,3.15,2.83,0.0
20200107:1310,1088.21,119.98,15.6,3.43,2.14,0.0
20200107:1410,292.73,42.34,10.43,3.36,1.59,0.0
20200107:1510,379.24,50.56,3.53,2.8,1.31,0.0
20200107:1610,0.0,0.0,0.0,2.11,1.31,0.0
20200107:1710,0.0,0.0,0.0,1.3,1.45,0.0
20200107:1810,0.0,0.0,0.0,0.81,1.52,0.0
20200107:1910,0.0,0.0,0.0,0.09,1.52,0.0
20200107:2010,0.0,0.0,0.0,-0.54,1.59,0.0
20200107:2110,0.0,0.0,0.0,-0.54,1.66,0.0
20200107:2210,0.0,0.0,0.0,-0.85,1.86,0.0
20200107:2310,0.0,0.0,0.0,-0.9,1.93,0.0
20200108:0010,0.0,0.0,0.0,-0.86,2.07,0.0
20200108:0110,0.0,0.0,0.0,-1.04,2.21,0.0
20200108:0210,0.0,0.0,0.0,-1.12,2.28,0.0
20200108:0310,0.0,0.0,0.0,-1.23,2.21,0.0
20200108:0410,0.0,0.0,0.0,-0.92,2.34,0.0
20200108:0510,0.0,0.0,0.0,-0.54,2.41,0.0
20200108:0610,0.0,0.0,0.0,-0.27,2.55,0.0
20200108:0710,0.0,0.0,0.0,-0.08,2.76,0.0
20200108:0810,366.08,49.66,6.71,0.38,2.83,0.0
20200108:0910,1166.18,126.3,12.95,1.7,2.76,0.0
20200108:1010,774.0,90.41,17.26,3.34,2.76,0.0
20200108:1110,2344.39,236.89,19.26,4.32,2.76,0.0
20200108:1210,1034.1,115.99,18.74,5.23,2.76,0.0
20200108:1310,3519.0,347.19,15.75,5.59,2.83,0.0
20200108:1410,1513.69,159.88,10.59,5.91,2.9,0.0
20200108:1510,370.58,50.23,3.69,5.79,2.62,0.0
20200108:1610,0.0,0.0,0.0,4.94,2.62,0.0
20200108:1710,0.0,0.0,0.0,4.82,2.55,0.0
20200108:1810,0.0,0.0,0.0,5.06,2.69,0.0
20200108:1910,0.0,0.0,0.0,4.05,2.76,0.0
20200108:2010,0.0,0.0,0.0,4.15,2.76,0.0
20200108:2110,0.0,0.0,0.0,4.51,2.69,0.0
20200108:2210,0.0,0.0,0.0,4.69,2.62,0.0
20200108:2310,0.0,0.0,0.0,4.64,2.62,0.0
20200109:0010,0.0,0.0,0.0,4.7,2.62,0.0
20200109:0110,0.0,0.0,0.0,4.56,2.69,0.0
20200109:0210,0.0,0.0,0.0,4.48,2.69,0.0
20200109:0310,0.0,0.0,0.0,4.56,2.62,0.0
20200109:0410,0.0,0.0,0.0,4.92,2.62,0.0
20200109:0510,0.0,0.0,0.0,5.2,2.76,0.0
20200109:0610,0.0,0.0,0.0,5.21,2.83,0.0
20200109:0710,0.0,0.0,0.0,4.54,3.1,0.0
20200109:0810,460.24,60.28,6.78,4.69,3.24,0.0
20200109:0910,2239.2,227.86,13.04,5.15,3.17,0.0
20200109:1010,5557.72,548.36,17.37,6.19,2.69,0.0
20200109:1110,7635.15,769.7,19.39,7.59,2.62,0.0
20200109:1210,8207.21,838.06,18.89,8.9,2.62,0.0
20200109:1310,7000.09,709.56,15.91,9.48,2.34,0.0
20200109:1410,5861.92,587.05,10.76,9.16,2.41,0.0
20200109:1510,786.04,91.87,3.86,8.16,2.41,0.0
20200109:1610,0.0,0.0,0.0,6.55,2.55,0.0
20200109:1710,0.0,0.0,0.0,5.6,2.55,0.0
20200109:1810,0.0,0.0,0.0,5.15,2.62,0.0
20200109:1910,0.0,0.0,0.0,4.99,2.9,0.0
20200109:2010,0.0,0.0,0.0,4.73,2.9,0.0
20200109:2110,0.0,0.0,0.0,4.59,2.76,0.0
20200109:2210,0.0,0.0,0.0,4.48,2.55,0.0
20200109:2310,0.0,0.0,0.0,4.53,2.48,0.0
20200110:0010,0.0,0.0,0.0,4.47,2.55,0.0
20200110:0110,0.0,0.0,0.0,4.65,2.76,0.0
20200110:0210,0.0,0.0,0.0,4.92,3.38,0.0
20200110:0310,0.0,0.0,0.0,4.62,3.86,0.0
20200110:0410,0.0,0.0,0.0,4.24,4.07,0.0
20200110:0510,0.0,0.0,0.0,3.97,3.79,0.0
20200110:0610,0.0,0.0,0.0,3.68,3.72,0.0
20200110:0710,0.0,0.0,0.0,4.49,3.79,0.0
20200110:0810,2455.99,254.02,6.86,4.38,3.66,0.0
20200110:0910,4079.14,401.22,13.14,5.16,3.38,0.0
20200110:1010,3410.89,337.88,17.49,6.05,3.38,0.0
20200110:1110,657.34,80.26,19.53,7.09,4.07,0.0
20200110:1210,879.08,102.08,19.04,7.77,5.52,0.0
20200110:1310,2896.65,290.01,16.07,7.79,4.69,0.0
20200110:1410,1966.05,202.79,10.93,7.62,4.0,0.0
20200110:1510,257.96,38.65,4.03,6.93,3.86,0.0
20200110:1610,0.0,0.0,0.0,6.13,3.66,0.0
20200110:1710,0.0,0.0,0.0,5.53,3.59,0.0
20200110:1810,0.0,0.0,0.0,5.25,3.52,0.0
20200110:1910,0.0,0.0,0.0,4.98,3.45,0.0
20200110:2010,0.0,0.0,0.0,4.67,3.17,0.0
20200110:2110,0.0,0.0,0.0,4.37,2.69,0.0
20200110:2210,0.0,0.0,0.0,4.09,2.41,0.0
20200110:2310,0.0,0.0,0.0,3.8,2.34,0.0
20200111:0010,0.0,0.0,0.0,3.42,2.28,0.0
20200111:0110,0.0,0.0,0.0,3.24,2.21,0.0
20200111:0210,0.0,0.0,0.0,2.91,2.14,0.0
20200111:0310,0.0,0.0,0.0,2.56,2.0,0.0
20200111:0410,0.0,0.0,0.0,2.45,1.86,0.0
20200111:0510,0.0,0.0,0.0,2.2,1.52,0.0
20200111:0610,0.0,0.0,0.0,1.91,1.45,0.0
20200111:0710,0.0,0.0,0.0,1.71,1.1,0.0
20200111:0810,784.46,91.99,6.94,1.59,0.55,0.0
20200111:0910,4212.45,417.45,13.24,1.93,0.21,0.0
20200111:1010,1652.18,172.86,17.62,2.34,0.21,0.0
20200111:1110,748.91,88.2,19.68,2.84,0.28,0.0
20200111:1210,1980.22,203.94,19.2,2.89,0.14,0.0
20200111:1310,5000.18,495.71,16.25,3.11,0.34,0.0
20200111:1410,4730.18,465.83,11.11,3.32,0.76,0.0
20200111:1510,1320.75,140.46,4.21,3.28,0.97,0.0
20200111:1610,0.0,0.0,0.0,2.9,0.97,0.0
20200111:1710,0.0,0.0,0.0,2.31,1.1,0.0
20200111:1810,0.0,0.0,0.0,1.52,0.9,0.0
20200111:1910,0.0,0.0,0.0,1.27,1.1,0.0
20200111:2010,0.0,0.0,0.0,0.55,0.9,0.0
20200111:2110,0.0,0.0,0.0,0.03,0.83,0.0
20200111:2210,0.0,0.0,0.0,-0.72,0.97,0.0
20200111:2310,0.0,0.0,0.0,-1.5,1.1,0.0
20200112:0010,0.0,0.0,0.0,-2.07,1.1,0.0
20200112:0110,0.0,0.0,0.0,-2.31,0.97,0.0
20200112:0210,0.0,0.0,0.0,-2.75,0.97,0.0
20200112:0310,0.0,0.0,0.0,-3.15,0.9,0.0
20200112:0410,0.0,0.0,0.0,-3.19,1.17,0.0
20200112:0510,0.0,0.0,0.0,-3.17,1.17,0.0
20200112:0610,0.0,0.0,0.0,-2.77,1.38,0.0
20200112:0710,0.0,0.0,0.0,-2.29,2.0,0.0
20200112:0810,184.84,29.99,7.04,-1.68,2.14,0.0
20200112:0910,565.76,69.35,13.36,0.47,1.93,0.0
20200112:1010,635.17,76.74,17.75,2.35,2.07,0.0
20200112:1110,1311.52,141.43,19.83,3.72,2.34,0.0
20200112:1210,790.65,92.61,19.37,4.7,2.76,0.0
20200112:1310,2023.99,207.37,16.43,4.92,2.76,0.0
20200112:1410,933.19,105.36,11.29,4.7,2.9,0.0
20200112:1510,38.92,12.35,4.39,3.6,2.9,0.0
20200112:1610,0.0,0.0,0.0,2.14,2.76,0.0
20200112:1710,0.0,0.0,0.0,1.37,2.69,0.0
20200112:1810,0.0,0.0,0.0,1.04,2.62,0.0
20200112:1910,0.0,0.0,0.0,0.28,2.48,0.0
20200112:2010,0.0,0.0,0.0,0.28,2.48,0.0
20200112:2110,0.0,0.0,0.0,0.33,2.41,0.0
20200112:2210,0.0,0.0,0.0,0.4,2.28,0.0
20200112:2310,0.0,0.0,0.0,0.64,2.14,0.0
20200113:0010,0.0,0.0,0.0,1.07,1.86,0.0
20200113:0110,0.0,0.0,0.0,1.25,1.66,0.0
20200113:0210,0.0,0.0,0.0,0.93,1.59,0.0
20200113:0310,0.0,0.0,0.0,0.66,1.38,0.0
20200113:0410,0.0,0.0,0.0,0.85,1.1,0.0
20200113:0510,0.0,0.0,0.0,0.71,1.1,0.0
20200113:0610,0.0,0.0,0.0,0.54,1.1,0.0
20200113:0710,0.0,0.0,0.0,0.36,1.24,0.0
20200113:0810,1005.75,112.8,7.14,0.23,1.24,0.0
20200113:0910,1238.74,133.34,13.47,1.46,1.24,0.0
20200113:1010,1535.18,161.6,17.9,2.64,1.45,0.0
20200113:1110,2624.85,263.27,20.0,3.43,1.52,0.0
20200113:1210,2501.89,252.49,19.55,4.19,1.52,0.0
20200113:1310,4661.44,459.19,16.61,4.56,1.52,0.0
20200113:1410,1231.31,133.28,11.48,4.39,1.59,0.0
20200113:1510,479.14,60.69,4.58,3.2,2.0,0.0
20200113:1610,0.0,0.0,0.0,1.42,2.21,0.0
20200113:1710,0.0,0.0,0.0,0.56,2.07,0.0
20200113:1810,0.0,0.0,0.0,0.25,2.0,0.0
20200113:1910,0.0,0.0,0.0,0.91,2.0,0.0
20200113:2010,0.0,0.0,0.0,0.61,2.14,0.0
20200113:2110,0.0,0.0,0.0,0.67,2.14,0.0
20200113:2210,0.0,0.0,0.0,0.49,2.07,0.0
20200113:2310,0.0,0.0,0.0,0.54,1.93,0.0
20200114:0010,0.0,0.0,0.0,0.38,2.07,0.0
20200114:0110,0.0,0.0,0.0,0.48,2.34,0.0
20200114:0210,0.0,0.0,0.0,0.78,2.62,0.0
20200114:0310,0.0,0.0,0.0,0.93,2.76,0.0
20200114:0410,0.0,0.0,0.0,1.14,2.83,0.0
20200114:0510,0.0,0.0,0.0,1.28,2.83,0.0
20200114:0610,0.0,0.0,0.0,1.83,2.9,0.0
20200114:0710,0.0,0.0,0.0,1.25,3.17,0.0
20200114:0810,1253.36,136.77,7.24,1.47,3.17,0.0
20200114:0910,4494.15,436.86,13.6,2.69,3.17,0.0
20200114:1010,6844.28,671.76,18.04,4.22,3.03,0.0
20200114:1110,6708.26,662.93,20.16,5.78,3.03,0.0
20200114:1210,7654.28,765.48,19.73,6.72,3.03,0.0
20200114:1310,1717.42,180.37,16.8,6.87,3.38,0.0
20200114:1410,496.35,63.75,11.67,6.03,3.1,0.0
20200114:1510,155.48,27.13,4.77,5.0,2.9,0.0
20200114:1610,0.0,0.0,0.0,3.95,2.97,0.0
20200114:1710,0.0,0.0,0.0,3.83,2.97,0.0
20200114:1810,0.0,0.0,0.0,4.01,3.1,0.0
20200114:1910,0.0,0.0,0.0,3.74,3.1,0.0
20200114:2010,0.0,0.0,0.0,3.42,3.1,0.0
20200114:2110,0.0,0.0,0.0,2.88,2.97,0.0
20200114:2210,0.0,0.0,0.0,2.74,2.69,0.0
20200114:2310,0.0,0.0,0.0,2.72,2.41,0.0
20200115:0010,0.0,0.0,0.0,2.63,2.28,0.0
20200115:0110,0.0,0.0,0.0,2.29,2.21,0.0
20200115:0210,0.0,0.0,0.0,2.09,2.14,0.0
20200115:0310,0.0,0.0,0.0,1.83,2.21,0.0
20200115:0410,0.0,0.0,0.0,1.72,2.28,0.0
20200115:0510,0.0,0.0,0.0,1.48,2.41,0.0
20200115:0610,0.0,0.0,0.0,1.39,2.28,0.0
20200115:0710,0.0,0.0,0.0,1.13,2.28,0.0
20200115:0810,3064.73,311.39,7.35,1.5,2.07,0.0
20200115:0910,5517.68,543.91,13.73,3.51,1.86,0.0
20200115:1010,7375.05,743.88,18.2,5.99,1.79,0.0
20200115:1110,8280.22,850.17,20.34,7.74,1.93,0.0
20200115:1210,8463.04,875.18,19.92,8.64,1.93,0.0
20200115:1310,7930.91,815.04,17.0,8.93,1.93,0.0
20200115:1410,6425.21,645.65,11.87,8.52,2.21,0.0
20200115:1510,1566.22,165.29,4.97,7.11,2.62,0.0
20200115:1610,0.0,0.0,0.0,5.3,2.97,0.0
20200115:1710,0.0,0.0,0.0,4.42,3.17,0.0
20200115:1810,0.0,0.0,0.0,4.17,3.24,0.0
20200115:1910,0.0,0.0,0.0,4.09,3.17,0.0
20200115:2010,0.0,0.0,0.0,3.91,3.17,0.0
20200115:2110,0.0,0.0,0.0,4.02,3.17,0.0
20200115:2210,0.0,0.0,0.0,3.67,3.17,0.0
20200115:2310,0.0,0.0,0.0,3.55,3.03,0.0
20200116:0010,0.0,0.0,0.0,3.81,2.83,0.0
20200116:0110,0.0,0.0,0.0,4.11,2.69,0.0
20200116:0210,0.0,0.0,0.0,3.85,2.55,0.0
20200116:0310,0.0,0.0,0.0,3.74,2.41,0.0
20200116:0410,0.0,0.0,0.0,3.31,2.28,0.0
20200116:0510,0.0,0.0,0.0,2.96,2.07,0.0
20200116:0610,0.0,0.0,0.0,2.76,1.86,0.0
20200116:0710,0.0,0.0,0.0,3.81,1.59,0.0
20200116:0810,2985.08,307.94,7.47,3.73,1.24,0.0
20200116:0910,2776.05,280.64,13.87,4.62,0.62,0.0
20200116:1010,6648.3,682.69,18.36,6.81,0.41,0.0
20200116:1110,8051.74,848.31,20.52,8.15,0.55,0.0
20200116:1210,8258.06,868.16,20.12,9.13,1.03,0.0
20200116:1310,7821.68,807.78,17.2,9.53,1.72,0.0
20200116:1410,6454.24,652.85,12.07,9.33,2.0,0.0
20200116:1510,1444.95,154.91,5.17,8.27,2.0,0.0
20200116:1610,0.0,0.0,0.0,6.59,2.14,0.0
20200116:1710,0.0,0.0,0.0,5.28,2.14,0.0
20200116:1810,0.0,0.0,0.0,4.3,2.14,0.0
20200116:1910,0.0,0.0,0.0,3.49,2.0,0.0
20200116:2010,0.0,0.0,0.0,2.69,1.72,0.0
20200116:2110,0.0,0.0,0.0,1.56,1.24,0.0
20200116:2210,0.0,0.0,0.0,0.84,1.03,0.0
20200116:2310,0.0,0.0,0.0,0.34,0.97,0.0
20200117:0010,0.0,0.0,0.0,0.13,0.9,0.0
20200117:0110,0.0,0.0,0.0,-0.48,0.97,0.0
20200117:0210,0.0,0.0,0.0,-1.39,1.24,0.0
20200117:0310,0.0,0.0,0.0,-2.25,1.66,0.0
20200117:0410,0.0,0.0,0.0,-1.85,2.07,0.0
20200117:0510,0.0,0.0,0.0,-1.56,2.07,0.0
20200117:0610,0.0,0.0,0.0,-1.57,2.07,0.0
20200117:0710,0.0,0.0,0.0,-0.69,2.55,0.0
20200117:0810,1644.07,173.52,7.6,0.57,2.41,0.0
20200117:0910,3379.05,332.65,14.02,2.74,2.28,0.0
20200117:1010,7323.64,729.3,18.53,4.94,2.34,0.0
20200117:1110,8257.61,833.94,20.71,6.5,2.62,0.0
20200117:1210,3856.05,383.41,20.32,7.37,2.83,0.0
20200117:1310,7367.51,736.7,17.41,7.39,3.03,0.0
20200117:1410,768.38,90.61,12.28,6.75,3.17,0.0
20200117:1510,0.0,5.29,5.37,5.73,3.03,0.0
20200117:1610,0.0,0.0,0.0,4.95,3.03,0.0
20200117:1710,0.0,0.0,0.0,4.13,3.1,0.0
20200117:1810,0.0,0.0,0.0,3.97,3.1,0.0
20200117:1910,0.0,0.0,0.0,4.1,3.1,0.0
20200117:2010,0.0,0.0,0.0,3.91,2.9,0.0
20200117:2110,0.0,0.0,0.0,3.78,2.83,0.0
20200117:2210,0.0,0.0,0.0,3.7,2.83,0.0
20200117:2310,0.0,0.0,0.0,3.57,2.83,0.0
20200118:0010,0.0,0.0,0.0,3.32,2.76,0.0
20200118:0110,0.0,0.0,0.0,3.09,2.69,0.0
20200118:0210,0.0,0.0,0.0,2.85,2.76,0.0
20200118:0310,0.0,0.0,0.0,2.48,2.55,0.0
20200118:0410,0.0,0.0,0.0,2.22,2.41,0.0
20200118:0510,0.0,0.0,0.0,1.59,2.14,0.0
20200118:0610,0.0,0.0,0.0,0.95,2.0,0.0
20200118:0710,0.0,0.0,0.0,1.16,2.07,0.0
20200118:0810,1127.14,124.61,7.73,0.97,2.0,0.0
20200118:0910,3509.55,343.41,14.18,1.45,2.07,0.0
20200118:1010,7679.81,753.12,18.71,2.12,2.76,0.0
20200118:1110,2051.89,208.75,20.9,2.68,2.97,0.0
20200118:1210,481.72,61.74,20.53,3.27,3.03,0.0
20200118:1310,119.7,22.93,17.62,3.29,3.24,0.0
20200118:1410,636.52,76.8,12.49,3.27,3.31,0.0
20200118:1510,84.6,18.52,5.58,2.52,2.69,0.0
20200118:1610,0.0,0.0,0.0,1.58,2.21,0.0
20200118:1710,0.0,0.0,0.0,0.62,1.93,0.0
20200118:1810,0.0,0.0,0.0,-0.17,1.86,0.0
20200118:1910,0.0,0.0,0.0,-0.76,1.72,0.0
20200118:2010,0.0,0.0,0.0,-1.43,1.52,0.0
20200118:2110,0.0,0.0,0.0,-1.87,1.31,0.0
20200118:2210,0.0,0.0,0.0,-2.43,1.31,0.0
20200118:2310,0.0,0.0,0.0,-2.44,1.17,0.0
20200119:0010,0.0,0.0,0.0,-2.11,1.1,0.0
20200119:0110,0.0,0.0,0.0,-1.5,1.03,0.0
20200119:0210,0.0,0.0,0.0,-1.29,1.24,0.0
